id,country,country_id,continent,site_id,site_name,latitude,longitude,rural_urban,month_start,year_start,month_end,year_end,lower_age,upper_age,examined,pf_pos,pf_pr,method,rdt_type,pcr_type,dhs_id,source_id1,source_id2,source_id3,date,survey_type
1072805,Tanzania,TZA,Africa,1072803,TZ201700000391,-3.073378,32.082831,RURAL,10,2017,10,2017,0.8,4,26,11,0.423076923076923,RDT,Unknown,NA,TZ201700000391,1000095291,5680,NA,2017-10-01,MIS
1071353,Tanzania,TZA,Africa,1071351,TZ201700000149,-10.695419,35.654638,URBAN,10,2017,10,2017,0.8,4,7,0,0,RDT,Unknown,NA,TZ201700000149,1000095291,5680,NA,2017-10-01,MIS
1071881,Tanzania,TZA,Africa,1071879,TZ201700000237,-5.94556,30.02496,RURAL,10,2017,10,2017,0.9,3,21,12,0.571428571428571,RDT,Unknown,NA,TZ201700000237,1000095291,5680,NA,2017-10-01,MIS
1070627,Tanzania,TZA,Africa,1070625,TZ201700000028,-3.363983,37.145055,URBAN,10,2017,10,2017,0.9,4,7,0,0,RDT,Unknown,NA,TZ201700000028,1000095291,5680,NA,2017-10-01,MIS
1072781,Tanzania,TZA,Africa,1072779,TZ201700000387,-2.523541,32.042463,RURAL,10,2017,10,2017,0.9,4,17,5,0.294117647058824,RDT,Unknown,NA,TZ201700000387,1000095291,5680,NA,2017-10-01,MIS
1071119,Tanzania,TZA,Africa,1071117,TZ201700000110,-10.052283,38.496527,RURAL,10,2017,10,2017,0.9,4,9,3,0.333333333333333,RDT,Unknown,NA,TZ201700000110,1000095291,5680,NA,2017-10-01,MIS
1072115,Tanzania,TZA,Africa,1072113,TZ201700000276,-2.901115,31.206402,RURAL,10,2017,10,2017,0.9,4,10,2,0.2,RDT,Unknown,NA,TZ201700000276,1000095291,5680,NA,2017-10-01,MIS
1072103,Tanzania,TZA,Africa,1072101,TZ201700000274,-1.718043,31.591471,RURAL,10,2017,10,2017,0.9,4,17,1,0.0588235294117647,RDT,Unknown,NA,TZ201700000274,1000095291,5680,NA,2017-10-01,MIS
1072589,Tanzania,TZA,Africa,1072587,TZ201700000355,-6.753042,30.408983,RURAL,10,2017,10,2017,0.9,4,15,1,0.0666666666666667,RDT,Unknown,NA,TZ201700000355,1000095291,5680,NA,2017-10-01,MIS
1070801,Tanzania,TZA,Africa,1070799,TZ201700000057,-6.084125,37.558644,RURAL,10,2017,10,2017,0.9,4,15,2,0.133333333333333,RDT,Unknown,NA,TZ201700000057,1000095291,5680,NA,2017-10-01,MIS
1071803,Tanzania,TZA,Africa,1071801,TZ201700000224,-7.94728,31.607054,URBAN,10,2017,10,2017,0.9,4,14,0,0,RDT,Unknown,NA,TZ201700000224,1000095291,5680,NA,2017-10-01,MIS
1072577,Tanzania,TZA,Africa,1072575,TZ201700000353,-6.358297,30.826289,RURAL,10,2017,10,2017,0.9,4,20,2,0.1,RDT,Unknown,NA,TZ201700000353,1000095291,5680,NA,2017-10-01,MIS
1070579,Tanzania,TZA,Africa,1070577,TZ201700000020,-3.320211,36.6729,RURAL,10,2017,10,2017,1,4,11,0,0,RDT,Unknown,NA,TZ201700000020,1000095291,5680,NA,2017-10-01,MIS
1072337,Tanzania,TZA,Africa,1072335,TZ201700000313,-1.826277,33.624295,RURAL,10,2017,10,2017,1,4,22,0,0,RDT,Unknown,NA,TZ201700000313,1000095291,5680,NA,2017-10-01,MIS
1070615,Tanzania,TZA,Africa,1070613,TZ201700000026,-3.351575,37.419064,RURAL,10,2017,10,2017,1.1,3,9,0,0,RDT,Unknown,NA,TZ201700000026,1000095291,5680,NA,2017-10-01,MIS
1071917,Tanzania,TZA,Africa,1071915,TZ201700000243,-3.316638,30.798598,RURAL,10,2017,10,2017,1.1,4,21,7,0.333333333333333,RDT,Unknown,NA,TZ201700000243,1000095291,5680,NA,2017-10-01,MIS
1072391,Tanzania,TZA,Africa,1072389,TZ201700000322,-1.351843,34.160275,RURAL,10,2017,10,2017,1.1,4,32,7,0.21875,RDT,Unknown,NA,TZ201700000322,1000095291,5680,NA,2017-10-01,MIS
1070789,Tanzania,TZA,Africa,1070787,TZ201700000055,-6.801665,37.664922,URBAN,10,2017,10,2017,1.2,4,11,0,0,RDT,Unknown,NA,TZ201700000055,1000095291,5680,NA,2017-10-01,MIS
1071779,Tanzania,TZA,Africa,1071777,TZ201700000220,-8.630415,32.125601,RURAL,10,2017,10,2017,1.3,3,8,0,0,RDT,Unknown,NA,TZ201700000220,1000095291,5680,NA,2017-10-01,MIS
1071317,Tanzania,TZA,Africa,1071315,TZ201700000143,-10.730854,35.39945,RURAL,10,2017,10,2017,1.3,4,11,0,0,RDT,Unknown,NA,TZ201700000143,1000095291,5680,NA,2017-10-01,MIS
1070585,Tanzania,TZA,Africa,1070583,TZ201700000021,-3.10834,37.632801,RURAL,10,2017,10,2017,1.3,4,13,0,0,RDT,Unknown,NA,TZ201700000021,1000095291,5680,NA,2017-10-01,MIS
